MR,Ref
"area[riverside], name[Alimentum], familyfriendly[yes], period[.]","The riverside restaurant, Alimentum is very child friendly and great for adults as well."
"name[Alimentum], familyfriendly[yes], area[riverside], period[.]",Alimentum is a child-friendly venue located on the riverside.
"familyfriendly[yes], area[riverside], name[Alimentum], period[.]",There is a family-friendly venue in the riverside area called Alimentum.
"area[riverside], familyfriendly[yes], name[Alimentum], period[.]",At the riverside there is a friendly family place called Alimentum
"area[riverside], name[Alimentum], familyfriendly[yes], period[.]","Located in riverside area, Alimentum restaurant is a place to bring the whole family."
"area[riverside], name[Alimentum], familyfriendly[yes], period[.]",There is a riverside restaurant called Alimentum which is child friendly.
"name[Alimentum], area[riverside], familyfriendly[yes], period[.]",Alimentum can be found in riverside and is family friendly.
"area[riverside], name[Alimentum], familyfriendly[yes], period[.]","Being beside the river, Alimentum is a family friendly place."
"familyfriendly[yes], area[riverside], name[Alimentum], period[.]",A family friendly place near the riverside is called Alimentum.
"name[Alimentum], area[riverside], familyfriendly[yes], period[.]","Visit Alimentum by the riverside, it is kids friendly."
"area[riverside], familyfriendly[yes], name[Alimentum], period[.]","For a riverside, child friendly environment visit the Alimentum."
"name[Alimentum], area[riverside], period[.], familyfriendly[yes], period[.]",Alimentum is located near the riverside. It is child friendly.
"name[Alimentum], area[riverside], familyfriendly[yes], period[.]",Alimentum in the riverside area is child friendly.
"name[Alimentum], area[riverside], familyfriendly[yes], period[.]","Alimentum, on the riverside, is family-friendly."
"name[Alimentum], familyfriendly[yes], area[riverside], period[.]",Alimentum is a child friendly place on the riverside.
"familyfriendly[yes], area[riverside], name[Alimentum], period[.]",There is child friendly restaurant in the riverside area named Alimentum.
"name[Alimentum], familyfriendly[yes], area[riverside], period[.]",Alimentum is a child-friendly place on the riverside.
"name[Alimentum], area[riverside], period[.], familyfriendly[yes], period[.]",The Alimentum is in the riverside area. It is a family friendly place.
"name[Alimentum], familyfriendly[yes], area[riverside], period[.]",The Alimentum is kid friendly and is located in the riverside area.
"area[riverside], familyfriendly[yes], name[Alimentum], period[.]","On the riverside, there is a kids friendly venue called Alimentum."
"name[Alimentum], familyfriendly[yes], area[riverside], period[.]",Alimentum is kid-friendly and is located at the riverside.
"area[riverside], familyfriendly[yes], name[Alimentum], period[.]",On the riverside there is a child friendly place called Alimentum.
"area[riverside], name[Alimentum], familyfriendly[yes], period[.]","By the riverside you can find Alimentum, which is a family friendly place."
"area[riverside], familyfriendly[yes], name[Alimentum], period[.]",In Riverside you will find the kid-friendly restaurant Alimentum.
"name[Alimentum], familyfriendly[yes], area[riverside], period[.]",If you want to take the children for a meal then try Alimentum  they provide a child friendly service in their riverside setting .
"name[Alimentum], area[riverside], period[.], familyfriendly[yes], period[.]",The Alimentum is in the riverside area. It is family friendly.
"familyfriendly[yes], area[riverside], name[Alimentum], period[.]","If you are looking for a kids Friendly establishment in the riverside area, try Alimentum."
"area[riverside], name[Alimentum], familyfriendly[yes], period[.]",Located in the riverside area the Alimentum is kid friendly.
"area[riverside], name[Alimentum], familyfriendly[yes], period[.]","Located in the riverside area, Alimentum is child friendly."
"familyfriendly[yes], area[riverside], name[Alimentum], period[.]",A kid friendly place in riverside is Alimentum.
"name[Alimentum], area[riverside], familyfriendly[yes], period[.]","Alimentum, located in the riverside area is kid friendly."
"name[Alimentum], familyfriendly[yes], period[.], near[Burger King], area[riverside], period[.]",You will find Alimentum a nice child friendly place. It is located near Burger King and riverside.
"name[Alimentum], near[Burger King], area[riverside], familyfriendly[yes], period[.]","Alimentum is near Burger King and is not only riverside, but children friendly as well."
"name[Alimentum], familyfriendly[yes], area[riverside], near[Burger King], period[.]",Alimentum is a family friendly establishment in the riverside area near the Burger King.
"near[Burger King], name[Alimentum], familyfriendly[yes], area[riverside], period[.]","Close-by to Burger King is Alimentum, a child-friendly restaurant by the riverside."
"familyfriendly[yes], name[Alimentum], near[Burger King], area[riverside], period[.]",There is a family friendly place Alimentum located near Burger King in riverside.
"name[Alimentum], familyfriendly[yes], near[Burger King], area[riverside], period[.]",Alimentum is a children-friendly spot near Burger King in Riverside.
"near[Burger King], area[riverside], name[Alimentum], familyfriendly[yes], period[.]","Located near to Burger King on the riverside, Alimentum is a child friendly establishment."
"familyfriendly[yes], area[riverside], near[Burger King], name[Alimentum], period[.]",There is a kid-friendly restaurant in riverside near the Burger King named Alimentum.
"familyfriendly[yes], area[riverside], near[Burger King], name[Alimentum], period[.]",There is a kid friendly place in riverside near Burger King named Alimentum.
"name[Alimentum], familyfriendly[yes], area[riverside], near[Burger King], period[.]","Alimentum is a family-friendly location in the Riverside area, near the Burger King."
"familyfriendly[yes], name[Alimentum], area[riverside], near[Burger King], period[.]","There is a child friendly place called Alimentum by the riverside, near Burger King."
"familyfriendly[yes], near[Burger King], area[riverside], name[Alimentum], period[.]",Family friendly venue near the Burger King on the riverside is called Alimentum.
"area[riverside], familyfriendly[yes], name[Alimentum], period[.], near[Burger King], period[.]",Near the riverside is a kids friendly eatery called Alimentum. There is a Burger King close to it as well.
"familyfriendly[yes], name[Alimentum], area[riverside], near[Burger King], period[.]","In terms of kids friendly places, there's Alimentum in Riverside, near Burger King."
"familyfriendly[yes], area[riverside], name[Alimentum], near[Burger King], period[.]","For a family-friendly atmosphere in Riverside, check out Alimentum near the Burger King."
"near[Burger King], area[riverside], familyfriendly[yes], name[Alimentum], period[.]","Near Burger King on the riverside, there's a family friendly place named Alimentum."
"near[Burger King], familyfriendly[yes], name[Alimentum], area[riverside], period[.]","Near Burger King, there is a kid friendly place called Alimentum near the riverside."
"familyfriendly[yes], name[Alimentum], area[riverside], near[Burger King], period[.]",This kids-friendly restaurant called Alimentum is located in riverside near Burger King.
"area[riverside], near[Burger King], familyfriendly[yes], name[Alimentum], period[.]","By the riverside near Burger King, there's a kid friendly Alimentum."
"name[Alimentum], familyfriendly[yes], near[Burger King], area[riverside], period[.]",Alimentum is a child friendly establishment located near Burger King on the riverside.
"name[Alimentum], near[Burger King], area[riverside], familyfriendly[yes], period[.]","Alimentum, located near to Burger King on the riverside, is a child friendly establishment."
"area[riverside], near[Burger King], familyfriendly[yes], name[Alimentum], period[.]","In Riverside, near Burger King, there is a family friendly venue called Alimentum."
"familyfriendly[yes], name[Alimentum], near[Burger King], area[riverside], period[.]",The child-friendly Alimentum is near to Burger King by the riverside.
"near[Burger King], familyfriendly[yes], name[Alimentum], period[.], area[riverside], period[.]",Near Burger King is the child friendly Alimentum. It is by the river.
"familyfriendly[yes], area[riverside], name[Alimentum], near[Burger King], period[.]",The child-friendly riverside venue Alimentum is located near Burger King.
"near[Burger King], area[riverside], name[Alimentum], familyfriendly[yes], period[.]","Near Burger King, in the riverside area, is a place called Alimentum, and it is kid friendly."
"name[Alimentum], familyfriendly[yes], area[riverside], near[Burger King], period[.]",Alimentum is a kids friendly place in the riverside area near Burger King.
"area[riverside], near[Burger King], name[Alimentum], familyfriendly[yes], period[.]","Located riverside near Burger King,  Alimentum is children friendly."
"familyfriendly[yes], name[Alimentum], area[riverside], near[Burger King], period[.]",There is a family friendly venue named Alimentum which is located at the riverside near Burger King
"near[Burger King], name[Alimentum], familyfriendly[yes], area[riverside], period[.]","Near Burger King is Alimentum, which is child friendly and runs along the riverside."
"name[Alimentum], familyfriendly[yes], area[riverside], near[Burger King], period[.]",Alimentum is a family friendly place in riverside near Burger King.
"familyfriendly[yes], name[Alimentum], near[Burger King], area[riverside], period[.]","There's a kid-friendly restaurant named Alimentum, located near the Burger King at the riverside."
"name[Alimentum], area[riverside], familyfriendly[yes], near[Burger King], period[.]",Alimentum in riverside is child friendly and is located near Burger King.
"near[Burger King], area[riverside], name[Alimentum], familyfriendly[yes], period[.]","Located near Burger King in the riverside area, Alimentum is known for its kid-friendly environment."
"area[riverside], near[Burger King], familyfriendly[yes], name[Alimentum], period[.]","In riverside, near Burger King, is a children family place called Alimentum."
"near[Burger King], familyfriendly[yes], name[Alimentum], period[.]",Near the Burger King is a children friendly place called Alimentum.
"area[riverside], near[Burger King], familyfriendly[yes], name[Alimentum], period[.]",On the riverside near the Burger King there is a kids friendly place called Alimentum.
"name[Alimentum], familyfriendly[yes], area[riverside], near[Burger King], period[.]",Alimentum is a family friendly restaurant close to the river near Burger King.
"familyfriendly[yes], near[Burger King], name[Alimentum], area[riverside], period[.]",There are child friendly establishments such as Burger King and Alimentum near the riverside.
"food[Chinese], eattype[coffee shop], name[Aromi], area[riverside], customerrating[1 out of 5], familyfriendly[yes], period[.]",There is an Chinese coffee shop named Aromi near the riverside that has 1 out of 5 in the customer ranking and friendly with kid
"name[Aromi], eattype[coffee shop], food[Chinese], area[riverside], period[.], customerrating[1 out of 5], period[.]",Aromi is a coffee shop providing Chinese food It is located in the riverside. Its customer rating is 1 out of 5.
"name[Aromi], eattype[coffee shop], food[Chinese], area[riverside], period[.], customerrating[1 out of 5], period[.]",Aromi is a coffee shop providing Chinese food It is located in the riverside. Its customer rating is 1 out of 5.
"name[Aromi], eattype[coffee shop], food[Chinese], area[riverside], period[.], customerrating[1 out of 5], period[.]",Aromi is a coffee shop providing Chinese food It is located in the riverside. Its customer rating is 1 out of 5.
"name[Aromi], eattype[coffee shop], food[Chinese], period[.], familyfriendly[yes], area[riverside], period[.]","Aromi, an interesting mix of coffee shop and Chinese cuisine.  A child friendly restaurant and located in a riverside area, it has been rated number 1 by existing customers."
"name[Aromi], eattype[coffee shop], food[Chinese], area[riverside], familyfriendly[yes], customerrating[1 out of 5], period[.]",Aromi coffee shop serves Chinese food in the riverside area and is kids friendly but has a customer rating of 1 out of 5
"name[Aromi], eattype[coffee shop], food[Chinese], period[.], area[riverside], familyfriendly[yes], period[.]","Aromi  is a coffee shop that offer Chinese cuisine.  Rated number 1 by existing customers, it is located in a riverside area and welcomes children."
"name[Aromi], food[Chinese], eattype[coffee shop], customerrating[1 out of 5], area[riverside], familyfriendly[yes], period[.]",Aromi is an Chinese coffee shop has 1 out of 5 in the customer rating near the riverside and friendly with kid
"name[Aromi], eattype[coffee shop], area[riverside], period[.], food[Chinese], customerrating[1 out of 5], familyfriendly[yes], period[.]",Aromi is a coffee shop in the riverside area. It sells Chinese food and has a customer rating of 1 out of 5. It is very children friendly.
"eattype[coffee shop], area[riverside], name[Aromi], period[.], food[Chinese], familyfriendly[yes], customerrating[1 out of 5], period[.]","There is a coffee shop in the riverside area called Aromi. It sells Chinese food and is children friendly. Overall, it has a customer rating of 1 out of 5."
"name[Aromi], customerrating[3 out of 5], eattype[coffee shop], area[riverside], period[.], food[Chinese], familyfriendly[yes], period[.]",Aromi's a fairly decent coffee shop down at riverside. It has Chinese food and allows kids on the premises.
"customerrating[3 out of 5], familyfriendly[yes], eattype[coffee shop], area[riverside], name[Aromi], period[.], food[Chinese], period[.]","If you're looking for a decent, family friendly coffee shop in riverside, then go to Aromi. It serves Chinese food there too."
"name[Aromi], eattype[coffee shop], food[Chinese], familyfriendly[yes], customerrating[3 out of 5], period[.], area[riverside], period[.]","The Aromi coffee shop serves Chinese food,  is kid friendly and has a customer rating of 3 out of 5.  It is located riverside."
"name[Aromi], eattype[coffee shop], food[Chinese], area[riverside], customerrating[3 out of 5], period[.]","Aromi is a coffee shop that serves Chinese food in the Riverside area with a good customer rating of 3 out of 5, it is not child friendly."
"name[Aromi], familyfriendly[yes], eattype[coffee shop], customerrating[3 out of 5], food[Chinese], area[riverside], period[.]",Aromi is a kid friendly coffee shop with a 3 out of 5 rating serving Chinese food located in the Riverside area.
"eattype[coffee shop], food[Chinese], name[Aromi], area[riverside], customerrating[3 out of 5], period[.]","There is a coffee shop that serves Chinese food called Aromi, in the Riverside area, it is not child friendly and has a customer rating of 3 out of 5."
"familyfriendly[yes], eattype[coffee shop], name[Aromi], food[Chinese], area[riverside], period[.], customerrating[3 out of 5], period[.]","The kid friendly coffee shop,  Aromi,  serves Chinese food and is located riverside.   It has a customer rating of 3 out of 5."
"name[Aromi], eattype[coffee shop], food[Chinese], area[city centre], period[.], customerrating[5 out of 5], period[.]",Aromi is a coffee shop providing Chinese food It is located in the city centre. Its customer rating is 5 out of 5.
"name[Aromi], eattype[coffee shop], food[Chinese], period[.], customerrating[5 out of 5], area[city centre], familyfriendly[no], period[.]",Aromi is a coffee shop and also offer Chinese food. We have a customer rating of 5 out of 5. Located in city center. Unfortunately not family friendly
"customerrating[5 out of 5], name[Aromi], eattype[coffee shop], food[Chinese], period[.], familyfriendly[no], area[city centre], period[.]","Given a 5 out of 5 satisfaction rate by its customers, Aromi is a coffee shop joint known for its Chinese food. This non-family friendly restaurant is located in the city centre."
"name[Aromi], eattype[coffee shop], food[Chinese], period[.], customerrating[5 out of 5], familyfriendly[no], area[city centre], period[.]",Aromi is a coffee shop selling Chinese food. It has a customer rating of 5 out of 5 stars. It is not family friendly and is located in the city centre
"eattype[coffee shop], food[Chinese], name[Aromi], period[.], customerrating[5 out of 5], area[city centre], familyfriendly[no], period[.]",coffee shop and Chinese food available at the Aromi. Customer rating 5 out of 5. City center based. Not family friendly
"eattype[coffee shop], name[Aromi], food[Chinese], period[.], customerrating[5 out of 5], area[city centre], familyfriendly[no], period[.]",There is a coffee shop called Aromi that provides Chinese food. It has a customer rating of 5 out of 5 tars  and is located in the city centre. It is not family friendly
"name[Aromi], eattype[coffee shop], food[Chinese], area[city centre], period[.], customerrating[5 out of 5], period[.]",Aromi is a coffee shop providing Chinese food It is located in the city centre. Its customer rating is 5 out of 5.
"familyfriendly[yes], eattype[coffee shop], area[city centre], food[Chinese], name[Aromi], period[.], customerrating[5 out of 5], period[.]","There is a family friendly coffee shop in the city centre that serves Chinese food,  Aromi. It has a 5 out of 5 customer rating."
"name[Aromi], eattype[coffee shop], food[Chinese], area[city centre], period[.], familyfriendly[yes], customerrating[5 out of 5], period[.]",Aromi is a coffee shop that serves Chinese food in the city centre. It is family friendly and has a 5 out of 5 customer rating.
"name[Aromi], eattype[coffee shop], food[Chinese], area[city centre], period[.], customerrating[5 out of 5], familyfriendly[yes], period[.]",Aromi coffee shop serves Chinese food in the city centre. It is of high standard and families are welcome.
"eattype[coffee shop], name[Aromi], food[Chinese], familyfriendly[yes], customerrating[5 out of 5], period[.], area[city centre], period[.]",coffee shop Aromi serves Chinese food in a family friendly environment and is of high quality. It is situated in the city centre.
"name[Aromi], eattype[coffee shop], food[Chinese], area[city centre], period[.], customerrating[5 out of 5], period[.]",Aromi is a coffee shop providing Chinese food It is located in the city centre. Its customer rating is 5 out of 5.
"name[Aromi], eattype[coffee shop], food[Chinese], area[riverside], period[.], customerrating[5 out of 5], period[.]",Aromi is a coffee shop providing Chinese food It is located in the riverside. Its customer rating is 5 out of 5.
"name[Aromi], eattype[coffee shop], food[Chinese], area[riverside], period[.], customerrating[5 out of 5], familyfriendly[no], period[.]",Aromi coffee shop serves Chinese food in the riverside area. It is highly rated but not family friendly.
"name[Aromi], eattype[coffee shop], food[Chinese], area[riverside], period[.], customerrating[5 out of 5], period[.]",Aromi is a coffee shop providing Chinese food It is located in the riverside. Its customer rating is 5 out of 5.
"name[Aromi], customerrating[5 out of 5], eattype[coffee shop], food[Chinese], area[riverside], period[.], familyfriendly[no], period[.]",Aromi is a highly rated coffee shop providing Chinese food in the riverside area. It is not family friendly.
"eattype[coffee shop], area[riverside], food[Chinese], name[Aromi], period[.], familyfriendly[no], customerrating[5 out of 5], period[.]",There is a coffee shop on riverside that serves Chinese food Aromi. It is not family friendly and is rated 5 out of 5 by customers.
"name[Aromi], eattype[coffee shop], food[Chinese], area[riverside], period[.], customerrating[5 out of 5], familyfriendly[no], period[.]",Aromi is a coffee shop that serves Chinese food on riverside. It has a 5 out of 5 customer rating and is not family friendly.
"name[Aromi], food[Chinese], eattype[coffee shop], area[riverside], period[.], familyfriendly[yes], customerrating[5 out of 5], period[.]",Aromi is a Chinese food coffee shop in riverside. It is family friendly and gets a customer rating of 5 out of 5 stars.
"name[Aromi], eattype[coffee shop], food[Chinese], customerrating[5 out of 5], period[.], area[riverside], familyfriendly[yes], period[.]","Aromi is a coffee shop, which offers Chinese food, and has a customer rating of 5 out of 5. It is located in a riverside area, and is family friendly."
"name[Aromi], eattype[coffee shop], food[Chinese], period[.], familyfriendly[yes], area[riverside], customerrating[5 out of 5], period[.]",Aromi is a coffee shop that serves Chinese food. This family friendly eatery in riverside gets 5 out of 5 stars.
"customerrating[5 out of 5], food[Chinese], familyfriendly[yes], eattype[coffee shop], name[Aromi], area[riverside], period[.]","For highly-rated Chinese food in a family-friendly coffee shop setting, Aromi in riverside is a great option."
"customerrating[5 out of 5], familyfriendly[yes], eattype[coffee shop], name[Aromi], food[Chinese], area[riverside], period[.]","The highly-rated family-friendly coffee shop, Aromi, offers Chinese food in the riverside area."
"food[Chinese], area[riverside], customerrating[5 out of 5], familyfriendly[yes], eattype[coffee shop], name[Aromi], period[.]","Chinese food in the riverside area can be found at the highly-rated family-friendly coffee shop, Aromi."
"name[Aromi], eattype[coffee shop], area[riverside], familyfriendly[yes], food[Chinese], customerrating[5 out of 5], period[.]",Aromi a coffee shop in riverside serves family-friendly Chinese food rated 5 out of 5.
"name[Aromi], eattype[coffee shop], food[Chinese], customerrating[average], area[city centre], period[.], familyfriendly[no], period[.]",Aromi is a coffee shop serving Chinese food that is rated average and is located in the city centre. Aromi is not family friendly.
"name[Aromi], eattype[coffee shop], food[Chinese], customerrating[average], area[city centre], familyfriendly[no], period[.]","Aromi coffee shop serves Chinese food, with an average customer rating, located in the city centre, are not family friendly."
"name[Aromi], eattype[coffee shop], food[Chinese], customerrating[average], area[city centre], familyfriendly[no], period[.]","Aromi,  coffee shop, Chinese food, average customer rating, city centre, non family friendly"
"area[city centre], eattype[coffee shop], name[Aromi], customerrating[average], food[Chinese], period[.]",In there city center there is a  coffee shop named Aromi that is average rated and serves Chinese food
"name[Aromi], eattype[coffee shop], food[Chinese], customerrating[average], area[city centre], familyfriendly[no], period[.]","Aromi coffee shop makes Chinese food, maintains an average customer service rating and are located in the city centre,  service is geared towards adult clients  not families."
"name[Aromi], customerrating[average], eattype[coffee shop], food[Chinese], area[city centre], period[.]",Aromi is an average rated coffee shop that serves Chinese food in the city center
"name[Aromi], eattype[coffee shop], food[Chinese], customerrating[average], area[city centre], familyfriendly[no], period[.]","Aromi,  coffee shop, Chinese food, customer rating average, city centre, no children"
"area[city centre], name[Aromi], eattype[coffee shop], food[Chinese], customerrating[average], familyfriendly[yes], period[.]","In city centre, Aromi is a coffee shop having Chinese cuisine with average customer rating and is family friendly."
"name[Aromi], familyfriendly[yes], eattype[coffee shop], food[Chinese], period[.], area[city centre], customerrating[average], period[.]",Aromi is a family friendly coffee shop that serves Chinese food. It is located in the city centre and has an average customer rating.
"name[Aromi], eattype[coffee shop], food[Chinese], period[.], customerrating[average], area[city centre], familyfriendly[yes], period[.]",Aromi is a coffee shop that provides Chinese food. It has an average rating and it located in the city centre. It is family friendly.
"name[Aromi], eattype[coffee shop], food[Chinese], customerrating[average], area[city centre], familyfriendly[yes], period[.]","Aromi is a coffee shop providing Chinese food at average quality, it is in the city centre and is family friendly."
"name[Aromi], familyfriendly[yes], eattype[coffee shop], food[Chinese], area[city centre], customerrating[average], period[.]",Aromi is a family friendly coffee shop that provides Chinese food located in the city centre with average rating.
"name[Aromi], eattype[coffee shop], food[Chinese], customerrating[average], familyfriendly[yes], period[.], area[city centre], period[.]","Aromi coffee shop have Chines food, customer rating is average and it is family friendly. It is located in city centre."
"name[Aromi], customerrating[average], area[riverside], food[Chinese], period[.]",Aromi has an average customer rating in Riverside that provides Chinese food.
"name[Aromi], food[Chinese], eattype[coffee shop], customerrating[average], period[.], area[riverside], familyfriendly[no], period[.]","Aromi is a Chinese coffee shop with an average customer rating.  It is in the riverside area, but not family friendly."
"name[Aromi], eattype[coffee shop], customerrating[average], food[Chinese], period[.], area[riverside], familyfriendly[no], period[.]",Aromi coffee shop serves average-rated Chinese food. Aromi is in the riverside area and is not family friendly.
"name[Aromi], eattype[coffee shop], food[Chinese], area[riverside], period[.], customerrating[average], period[.]",Aromi is a coffee shop providing Chinese food It is located in the riverside. Its customer rating is average.
"name[Aromi], familyfriendly[no], area[riverside], customerrating[average], food[Chinese], period[.]","Aromi, a non-family friendly restaurant in the riverside area, serves average-rated Chinese food."
"area[riverside], food[Chinese], eattype[coffee shop], name[Aromi], period[.], familyfriendly[no], customerrating[average], period[.]",In the riverside area there is a Chinese coffee shop named Aromi.  It is not really family friendly and has an average rating from customers.
"name[Aromi], familyfriendly[yes], food[Chinese], eattype[coffee shop], area[riverside], period[.]",Aromi is a family friendly Chinese food coffee shop in the riverside area.
"area[riverside], name[Aromi], food[Chinese], eattype[coffee shop], familyfriendly[yes], customerrating[average], period[.]","in the riverside area,  Aromi Chinese coffee shop, family friendly, rates average"
"name[Aromi], eattype[coffee shop], food[Chinese], customerrating[average], area[riverside], familyfriendly[yes], period[.]",Aromi coffee shop have Chinese food with average customer rating in riverside and also children friendly.
"customerrating[average], food[Chinese], eattype[coffee shop], area[riverside], familyfriendly[yes], name[Aromi], period[.]",There is an average  Chinese coffee shop at the riverside that is children friendly called Aromi.
"area[riverside], eattype[coffee shop], name[Aromi], food[Chinese], familyfriendly[yes], customerrating[average], period[.]","In riverside, a coffee shop named Aromi provide Chinese cuisine with kids friendly environment and average rating."
"name[Aromi], familyfriendly[yes], food[Chinese], eattype[coffee shop], area[riverside], period[.], customerrating[average], period[.]",Aromi is a family friendly Chinese coffee shop located in riverside. This establishment has a customer rating of average.
"name[Aromi], customerrating[average], food[Chinese], eattype[coffee shop], area[riverside], familyfriendly[yes], period[.]",Aromi is an average Chinese coffee shop by the river that caters to children also.
"name[Aromi], familyfriendly[yes], eattype[coffee shop], food[Chinese], period[.], area[riverside], customerrating[average], period[.]",Aromi is a family friendly coffee shop featuring Chinese cuisine. It is located in riverside and has an AVERAGE customer rating.
"name[Aromi], eattype[coffee shop], food[Chinese], period[.], area[riverside], customerrating[average], familyfriendly[yes], period[.]",Aromi Is a coffee shop that serves Chinese food. It is located at the riverside. It has an average customer rating and it's family friendly
